List of Battle Hall Pokémon,,,,,,,,,,,,,,
Group 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pokémon in this group have base stat totals below 340 and may appear during a battle from Rank 1 to Rank 5 for a certain type.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Argenta will randomly use one of the Pokémon listed here each time when challenged for the Silver Print if the player is also using a Pokémon with a base stat total below 340.,,,,,,,,,,,,,,
# ,Pokémon ,Item ,Moves ,Nature ,EVs,,,,,,,,,
HP ,Attack ,Defense ,Sp. Atk ,Sp. Def ,Speed,,,,,,,,,
1,Bulbasaur ,Bulbasaur ,Miracle Seed Miracle Seed ,Energy Ball ,Sludge Bomb ,Charm ,Razor Leaf ,Mild ,- ,- ,- ,252,- ,252
4,Charmander ,Charmander ,Charcoal Charcoal ,Slash ,Fire Fang ,Swords Dance ,Flamethrower ,Lonely ,- ,252,- ,- ,- ,252
7,Squirtle ,Squirtle ,Mystic Water Mystic Water ,Facade ,Aqua Tail ,Iron Defense ,Aqua Jet ,Adamant ,252,252,- ,- ,- ,-
10,Caterpie ,Caterpie ,SilverPowder SilverPowder ,Tackle ,String Shot ,Bug Bite ,- ,Jolly ,- ,252,- ,- ,- ,252
11,Metapod ,Metapod ,SilverPowder SilverPowder ,Tackle ,String Shot ,Bug Bite ,Iron Defense ,Impish ,252,- ,252,- ,- ,-
13,Weedle ,Weedle ,SilverPowder SilverPowder ,Poison Sting ,String Shot ,Bug Bite ,- ,Jolly ,- ,252,- ,- ,- ,252
14,Kakuna ,Kakuna ,SilverPowder SilverPowder ,Poison Sting ,String Shot ,Bug Bite ,Iron Defense ,Impish ,252,- ,252,- ,- ,-
16,Pidgey ,Pidgey ,Sharp Beak Sharp Beak ,Quick Attack ,Air Slash ,Feather Dance ,Aerial Ace ,Mild ,- ,252,- ,252,- ,-
19,Rattata ,Rattata ,Silk Scarf Silk Scarf ,Hyper Fang ,Endeavor ,Screech ,Crunch ,Jolly ,- ,252,- ,- ,- ,252
21,Spearow ,Spearow ,Sharp Beak Sharp Beak ,Drill Peck ,Quick Attack ,Scary Face ,Aerial Ace ,Adamant ,- ,252,- ,- ,- ,252
23,Ekans ,Ekans ,Poison Barb Poison Barb ,Gunk Shot ,Screech ,Slam ,Sludge Bomb ,Hasty ,- ,252,- ,- ,- ,252
25,Pikachu ,Pikachu ,Magnet Magnet ,Thunderbolt ,Quick Attack ,Charm ,Volt Tackle ,Naughty ,- ,252,- ,- ,- ,252
27,Sandshrew ,Sandshrew ,Soft Sand Soft Sand ,Dig ,Slash ,Swords Dance ,Sandstorm ,Jolly ,- ,252,- ,- ,- ,252
29,Nidoran? ,Nidoran? ,Poison Barb Poison Barb ,Sludge Bomb ,Fury Swipes ,Charm ,Poison Fang ,Mild ,- ,252,- ,252,- ,-
32,Nidoran? ,Nidoran? ,Poison Barb Poison Barb ,Poison Jab ,Amnesia ,Fury Attack ,Sludge Bomb ,Naughty ,- ,252,- ,252,- ,-
35,Clefairy ,Clefairy ,Silk Scarf Silk Scarf ,Return ,Moonlight ,Meteor Mash ,Cosmic Power ,Relaxed ,- ,- ,252,- ,252,-
37,Vulpix ,Vulpix ,Charcoal Charcoal ,Fire Blast ,Quick Attack ,Double Team ,Swift ,Modest ,- ,- ,- ,252,- ,252
39,Jigglypuff ,Jigglypuff ,Silk Scarf Silk Scarf ,Hyper Voice ,Charm ,Rollout ,Fake Tears ,Rash ,252,- ,- ,252,- ,-
41,Zubat ,Zubat ,Poison Barb Poison Barb ,Poison Fang ,Air Slash ,Sludge Bomb ,Nasty Plot ,Hasty ,- ,- ,- ,252,- ,252
43,Oddish ,Oddish ,Miracle Seed Miracle Seed ,Petal Dance ,Razor Leaf ,Sludge Bomb ,Charm ,Mild ,- ,- ,- ,252,252,-
46,Paras ,Paras ,SilverPowder SilverPowder ,X-Scissor ,Bullet Seed ,Screech ,Giga Drain ,Brave ,252,252,- ,- ,- ,-
48,Venonat ,Venonat ,SilverPowder SilverPowder ,Signal Beam ,Sludge Bomb ,Agility ,Bug Bite ,Mild ,- ,- ,- ,252,- ,252
50,Diglett ,Diglett ,Soft Sand Soft Sand ,Earthquake ,Slash ,Screech ,Sandstorm ,Adamant ,- ,252,- ,- ,- ,252
52,Meowth ,Meowth ,Silk Scarf Silk Scarf ,Slash ,U-turn ,Fake Out ,Charm ,Adamant ,- ,252,- ,- ,- ,252
54,Psyduck ,Psyduck ,Mystic Water Mystic Water ,Hydro Pump ,Fury Swipes ,Amnesia ,Brine ,Mild ,- ,252,- ,252,- ,-
56,Mankey ,Mankey ,Black Belt Black Belt ,Cross Chop ,Screech ,Foresight ,Seismic Toss ,Adamant ,- ,252,- ,- ,- ,252
60,Poliwag ,Poliwag ,Mystic Water Mystic Water ,Waterfall ,Return ,Bubble Beam ,Double Team ,Hasty ,- ,252,- ,- ,- ,252
63,Abra ,Abra ,TwistedSpoon TwistedSpoon ,Psychic ,Facade ,Calm Mind ,Zen Headbutt ,Naive ,- ,- ,- ,252,- ,252
66,Machop ,Machop ,Black Belt Black Belt ,Dynamic Punch ,Foresight ,Scary Face ,Brick Break ,Jolly ,- ,252,- ,- ,- ,252
69,Bellsprout ,Bellsprout ,Miracle Seed Miracle Seed ,Razor Leaf ,Sludge Bomb ,Tickle ,Energy Ball ,Rash ,- ,252,- ,252,- ,-
72,Tentacool ,Tentacool ,Mystic Water Mystic Water ,Waterfall ,Poison Jab ,Barrier ,Brine ,Mild ,- ,252,- ,252,- ,-
74,Geodude ,Geodude ,Hard Stone Hard Stone ,Stone Edge ,Dig ,Rock Polish ,Ancient Power ,Brave ,- ,252,- ,- ,252,-
